name,age,income,profession,date,location,new_cases,total_cases,new_death,total_death,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccines,new_test,total_test,test_per_case,positive_rate,negative_rate,hospitalised_patients,icu_patients,population,median_age,age > 65,people_with_past_diseases,immunity_strength
Emily Taylor,78,12697,Engineer,2021-03-08,Australia,470,216913,12,4344,162018,323521,50757,626743,78918,21613163,48.0,0.1082,0.9133,4311,313,1307930477,36.7,8.12,4.75,57.53
Anna Williams,79,16422,Software Developer,2021-03-09,Brazil,482,217378,7,4355,295648,87910,261114,394684,23449,21708599,1.29,0.0187,0.9846,4046,305,904937214,31.7,22.39,1.68,87.23
Sarah Taylor,29,39380,Doctor,2021-03-10,Australia,522,217850,12,4363,120551,185934,251495,396684,39653,21726132,3.34,0.1896,0.8259,606,161,1351777833,48.7,7.19,19.52,52.86
Sarah Johnson,44,96877,Software Developer,2021-03-11,India,528,218368,10,4374,327859,386136,225598,797585,29859,21824549,8.23,0.0373,0.908,2264,955,942763432,34.0,20.48,1.27,75.43
Jane Taylor,84,61857,Farmer,2021-03-12,Italy,555,218841,7,4383,169327,168878,213916,687329,9576,21918867,18.09,0.1816,0.9516,758,232,513832961,27.5,16.62,19.25,99.46
Michael Taylor,45,68573,Nurse,2021-03-13,UK,466,219339,8,4396,459657,153731,268606,490452,46874,21964355,41.67,0.0259,0.8999,767,205,210561383,26.0,22.22,16.75,75.27
Emily Davis,83,76058,Business Analyst,2021-03-14,Russia,547,219827,14,4406,46855,159525,163867,409326,78199,22032515,44.74,0.1663,0.8173,3715,609,1333093621,31.6,19.36,18.33,37.78
Sarah Williams,45,22259,Software Developer,2021-03-15,Italy,460,220337,11,4415,51721,283456,201878,774207,37345,22073944,10.15,0.0389,0.9107,2194,308,1157568222,29.5,10.63,8.36,89.01
Emily Garcia,38,78534,Sales Executive,2021-03-16,France,542,220847,12,4421,121597,268580,91027,580956,71780,22126670,31.36,0.0172,0.9162,2069,538,1097983517,41.2,16.49,4.75,97.67
Emily Jones,24,73622,Software Developer,2021-03-17,USA,520,221317,13,4434,182922,294713,51528,646816,70428,22214018,45.95,0.1467,0.9385,3829,497,386485598,46.2,5.26,12.52,79.88
Chris Miller,31,2149,Scientist,2021-03-18,India,500,221794,11,4440,372803,121787,299374,66526,93648,22288083,23.72,0.0633,0.9446,340,220,932207841,32.8,14.5,15.08,59.33
Michael Smith,56,23792,Engineer,2021-03-19,Russia,497,222288,12,4448,306867,95485,49242,592005,5321,22309736,6.07,0.1458,0.9464,2233,241,779050822,39.4,6.72,3.49,96.39
Alex Garcia,79,17390,Teacher,2021-03-20,Italy,532,222810,9,4457,176811,182058,115688,472642,6776,22367657,23.43,0.1155,0.9261,3929,879,27371800,43.3,13.58,16.15,97.8
Anna Davis,29,35204,Teacher,2021-03-21,USA,531,223309,13,4471,270429,369699,2783,776530,17119,22462053,19.41,0.0307,0.841,2986,704,784428495,35.0,7.19,4.96,95.46
Chris Smith,55,37018,Teacher,2021-03-22,Brazil,448,223820,9,4477,15539,189249,29390,235238,31569,22476707,29.31,0.1871,0.8768,2464,683,562965461,26.7,24.11,10.34,58.83
Jane Jones,75,94651,Business Analyst,2021-03-23,India,517,224319,10,4486,476245,37646,140489,529740,39596,22479815,22.49,0.0959,0.9475,2345,376,492554484,30.7,15.46,17.27,85.28
John Clark,73,90583,Police Officer,2021-03-24,India,521,224841,10,4494,467725,81126,73102,257644,53967,22550298,1.85,0.1495,0.9812,2863,490,42543258,47.1,23.26,4.68,75.79
John Johnson,56,83614,Police Officer,2021-03-25,Brazil,493,225363,8,4508,126360,122922,280570,372624,34063,22559197,49.71,0.1052,0.815,1287,591,808562256,45.6,5.45,5.6,42.58
David Johnson,21,22471,Police Officer,2021-03-26,UK,546,225838,8,4515,373284,260217,31750,502112,99717,22573569,27.63,0.1248,0.9018,2167,581,946953404,27.2,17.75,2.19,67.49
David Garcia,65,15263,Teacher,2021-03-27,Brazil,490,226329,9,4528,162383,307574,59188,753709,23340,22612251,24.21,0.0675,0.8594,4891,188,711963132,30.6,11.14,3.79,82.34
Anna Smith,24,61309,Doctor,2021-03-28,India,503,226854,12,4535,244315,389382,274016,155673,76723,22709160,47.78,0.0481,0.8428,3093,493,110433320,44.2,13.64,3.78,92.71
Laura Garcia,77,53451,Business Analyst,2021-03-29,India,458,227375,10,4544,341324,73659,95231,548621,56430,22777959,8.64,0.1131,0.8961,3137,598,797024021,37.1,22.46,4.87,90.38
Chris Garcia,57,71379,Teacher,2021-03-30,Italy,462,227848,15,4557,389129,120341,180158,746295,7668,22870683,10.27,0.0936,0.9152,3608,504,944913198,44.0,24.6,6.44,40.83
Laura Clark,25,78969,Teacher,2021-03-31,Australia,534,228355,9,4575,358125,9158,67770,140384,81880,22908266,40.59,0.0841,0.8019,748,978,825923554,30.3,9.93,16.48,64.16
Michael Clark,75,12559,Teacher,2021-04-01,USA,511,228880,17,4582,308078,79236,232360,37839,9195,22938561,13.78,0.1378,0.9482,2903,556,866950862,48.8,23.97,18.4,63.48
Anna Miller,74,64728,Sales Executive,2021-04-02,Brazil,483,229385,10,4595,412727,81067,226440,453420,83097,23005674,40.16,0.1412,0.9558,3858,939,1022978940,44.6,18.77,8.72,92.91
John Clark,52,5952,Nurse,2021-04-03,USA,499,229903,7,4610,403399,163810,220249,40195,58995,23087239,14.31,0.0187,0.9834,4669,25,232552243,29.9,24.03,3.44,30.14
Laura Taylor,30,62726,Software Developer,2021-04-04,Brazil,488,230443,11,4621,281619,14879,93663,441064,88834,23137813,2.63,0.0744,0.8343,1895,475,1037108007,39.0,16.25,5.25,81.71
Chris Williams,56,41610,Teacher,2021-04-05,France,498,230914,12,4631,487982,141615,166792,633517,39250,23203747,26.33,0.0882,0.913,4064,411,506544363,27.8,24.22,14.99,73.3
Chris Jones,38,99329,Farmer,2021-04-06,India,499,231448,12,4641,204202,117284,150151,132265,17076,23234813,10.64,0.0284,0.8811,3232,303,460810580,34.0,22.85,13.87,94.51
Anna Garcia,64,87467,Doctor,2021-04-07,Australia,501,231918,9,4650,331721,183996,135363,280775,16376,23318962,38.13,0.0548,0.8636,513,180,79833228,41.5,7.57,19.38,61.98
Alex Garcia,19,3153,Nurse,2021-04-08,Italy,474,232415,8,4661,268040,351261,206156,191926,56839,23405058,32.42,0.0198,0.9075,3910,41,1252841326,33.3,11.22,1.28,76.04
Alex Davis,61,95447,Doctor,2021-04-09,Australia,468,232903,11,4671,298152,215190,113808,333142,65723,23415003,46.26,0.1993,0.9487,500,272,1123128202,41.4,9.86,15.26,98.09
Michael Johnson,47,9019,Police Officer,2021-04-10,Australia,465,233412,8,4678,217940,48888,111091,218462,44442,23445421,39.37,0.1499,0.8044,1965,224,1171942900,31.1,16.44,10.61,82.07
Chris Williams,72,86409,Police Officer,2021-04-11,Australia,503,233899,8,4682,451157,297420,50393,313702,6392,23529028,9.86,0.0266,0.9842,973,992,223822647,43.0,21.06,18.15,34.72
Anna Smith,57,98167,Nurse,2021-04-12,USA,475,234402,9,4695,52756,9799,94558,63585,28106,23579902,40.21,0.0138,0.9539,3672,567,1248655198,34.0,20.19,11.95,41.73
Jane Smith,41,38929,Software Developer,2021-04-13,Brazil,541,234866,17,4709,211330,229842,70770,235886,80845,23598032,32.45,0.1467,0.9427,365,198,245888491,44.8,19.53,9.49,87.5
David Jones,59,18028,Farmer,2021-04-14,Canada,500,235399,10,4717,90730,379673,289864,322408,25809,23685289,33.78,0.0934,0.9445,4816,795,921447007,28.4,12.51,13.65,53.44
John Johnson,45,35620,Police Officer,2021-04-15,France,488,235933,7,4729,495383,391857,276512,446542,1693,23754537,41.78,0.1595,0.8739,4843,592,168458291,34.0,7.79,16.84,79.41
John Miller,68,49474,Business Analyst,2021-04-16,Russia,483,236455,12,4744,431128,95141,186385,578310,95769,23838164,29.12,0.1855,0.9428,1426,817,623116926,36.6,9.21,6.37,78.99
Chris Williams,39,11623,Nurse,2021-04-17,Australia,509,236936,11,4754,92702,382157,49838,428883,60821,23920557,23.83,0.1239,0.8735,2865,609,216208063,35.6,19.83,3.04,99.56
Jane Brown,25,86504,Nurse,2021-04-18,UK,504,237435,5,4771,191731,298812,9734,562353,75159,23962951,32.2,0.0456,0.9708,1312,855,926009423,35.8,7.95,9.23,62.89
Emily Garcia,31,4809,Engineer,2021-04-19,USA,452,237897,8,4778,318984,140183,108187,396526,75710,24013586,15.6,0.1586,0.8337,1177,955,53893858,36.1,9.46,5.08,81.65
Sarah Brown,62,93907,Farmer,2021-04-20,Italy,517,238360,7,4788,222584,208623,100329,672433,12352,24096675,9.95,0.1916,0.8555,2975,270,415387133,49.7,13.49,9.16,33.41
Chris Taylor,55,52046,Engineer,2021-04-21,Russia,502,238892,9,4796,310767,339536,235633,353963,53196,24115079,31.21,0.1202,0.9048,1102,191,300843208,29.8,6.44,19.83,62.38
Sarah Clark,49,63496,Nurse,2021-04-22,Canada,467,239380,9,4811,335447,21490,121424,389302,72066,24188708,12.46,0.1396,0.8607,4234,514,1080025469,44.2,9.25,11.91,43.07
Laura Johnson,79,32739,Software Developer,2021-04-23,UK,499,239868,9,4817,318206,255138,204997,458292,5992,24202864,4.92,0.0741,0.8806,2472,351,689283942,38.8,8.0,14.18,88.84
Laura Taylor,84,54452,Nurse,2021-04-24,Canada,490,240396,10,4829,66690,122219,245042,219933,54076,24259482,1.03,0.0825,0.8936,3518,963,1211724530,35.3,24.03,13.88,88.79
Sarah Johnson,78,74324,Teacher,2021-04-25,Russia,518,240909,11,4840,218654,49104,212560,771679,24354,24310481,30.81,0.1496,0.9627,4509,31,941884850,40.8,8.83,16.59,46.55
David Smith,30,7977,Engineer,2021-04-26,Australia,507,241425,13,4848,108980,10316,226683,463609,4312,24325266,18.75,0.1863,0.8994,4071,83,474203081,46.3,22.24,18.94,52.28
Anna Clark,64,35838,Nurse,2021-04-27,UK,474,241894,13,4862,426850,43130,216547,776701,46833,24374625,37.86,0.1295,0.8689,4459,611,308990599,36.7,7.3,13.52,79.17
Chris Smith,71,69192,Software Developer,2021-04-28,Canada,505,242377,9,4871,407306,374438,244603,339649,5318,24466432,19.38,0.1601,0.8471,597,856,265294717,46.6,22.39,10.05,81.68
Laura Williams,88,5134,Doctor,2021-04-29,Italy,496,242841,8,4879,317410,297098,182374,425633,67003,24482126,24.81,0.0426,0.8776,4941,175,450638274,27.3,16.99,7.04,76.03
Laura Brown,69,54420,Doctor,2021-04-30,Brazil,504,243352,14,4888,171080,380581,278768,182372,28192,24519240,20.95,0.0503,0.898,3573,243,2430098,41.3,21.99,7.85,99.77
David Davis,89,30431,Business Analyst,2021-05-01,India,516,243839,14,4896,359787,150250,199343,311040,90199,24589789,32.88,0.1111,0.9418,1579,384,830084026,33.3,22.35,7.36,90.81
Alex Miller,42,70020,Software Developer,2021-05-02,Brazil,485,244360,11,4906,68704,187235,287459,791829,97782,24648019,18.45,0.0435,0.823,156,442,491681226,34.7,16.93,7.16,59.19
Jane Davis,40,50565,Nurse,2021-05-03,Russia,530,244841,14,4913,252153,68165,280566,778339,38489,24681818,48.22,0.1306,0.8421,906,650,841134252,39.3,23.35,14.2,52.89
Jane Johnson,47,57993,Doctor,2021-05-04,USA,487,245342,13,4923,466082,201511,171209,332773,41309,24773106,46.87,0.0654,0.8721,3034,343,230049721,37.0,16.71,12.17,71.78
Jane Clark,28,59035,Police Officer,2021-05-05,India,523,245828,10,4926,389518,240605,73663,440822,29273,24785262,42.55,0.1604,0.8685,4436,813,475488726,34.5,19.25,4.84,87.23
John Clark,52,48312,Nurse,2021-05-06,France,512,246347,9,4933,280526,71775,102216,584204,48553,24796566,46.09,0.1635,0.8744,4762,616,574502582,32.7,13.32,19.42,63.27
Michael Johnson,44,39916,Teacher,2021-05-07,Italy,502,246845,12,4942,450990,352455,251600,81330,30473,24838211,23.01,0.0981,0.9508,1300,549,996557905,40.5,23.28,9.13,81.64
Anna Williams,84,93810,Police Officer,2021-05-08,France,526,247293,9,4956,477786,58149,257492,383116,62410,24878149,27.29,0.0444,0.8616,1661,875,1096940761,37.6,21.48,11.76,31.34
Jane Miller,64,21693,Engineer,2021-05-09,UK,525,247835,8,4969,215134,339705,295887,401767,14679,24936131,37.36,0.1329,0.8954,1840,44,923718730,33.1,8.33,14.35,94.81
Sarah Clark,67,39559,Farmer,2021-05-10,India,517,248320,12,4980,361753,95710,11108,731782,93981,25014745,35.11,0.1986,0.9185,917,453,417403081,30.1,16.53,12.66,84.17
Alex Clark,25,83839,Doctor,2021-05-11,France,512,248826,11,4995,56698,97199,205706,529068,46310,25107359,44.64,0.1283,0.8441,2819,240,570893250,44.4,22.94,6.91,57.59
Emily Smith,72,51058,Nurse,2021-05-12,France,526,249329,8,5006,273254,170024,37180,395360,84406,25110674,36.1,0.0168,0.9366,4303,327,47123581,45.0,20.86,16.16,56.88
Michael Smith,59,86130,Scientist,2021-05-13,Canada,500,249862,9,5018,387410,32326,282027,347535,61683,25204430,49.9,0.0133,0.904,377,352,1023024262,30.3,24.25,3.09,37.2
Laura Williams,84,85639,Business Analyst,2021-05-14,Brazil,493,250375,13,5022,485197,384416,45400,387101,26992,25302697,18.08,0.0709,0.8849,3866,439,651596327,31.5,9.63,11.81,87.13
Laura Smith,37,12858,Sales Executive,2021-05-15,Canada,520,250864,7,5034,141458,36139,178071,667834,30433,25402066,41.82,0.0472,0.9539,3198,885,188800421,31.0,12.35,6.19,83.8
Laura Taylor,62,81538,Doctor,2021-05-16,India,472,251366,8,5045,461729,198175,48951,607699,77574,25415486,35.18,0.1645,0.8463,3431,988,835187810,47.1,15.14,12.7,74.12
John Jones,52,71431,Doctor,2021-05-17,India,477,251891,9,5058,225192,196929,143195,784797,26933,25434798,34.88,0.1705,0.9678,2424,646,688478245,44.4,9.65,5.14,37.1
Emily Brown,37,44324,Software Developer,2021-05-18,Russia,494,252433,6,5064,252282,340782,160429,93185,46020,25457193,16.97,0.0591,0.9066,2605,475,298609653,26.9,12.88,15.67,48.36
John Johnson,41,50944,Business Analyst,2021-05-19,Canada,501,252920,6,5073,319945,339796,165628,519961,30236,25498494,39.49,0.0719,0.9157,1180,88,1053918314,45.8,15.75,5.32,62.12
David Garcia,74,91687,Scientist,2021-05-20,Germany,467,253423,7,5087,386156,17937,31881,676248,59735,25546466,45.12,0.0549,0.9663,4386,902,498920176,25.9,8.83,17.92,48.62
Michael Smith,72,76455,Teacher,2021-05-21,Brazil,513,253911,13,5095,368229,263006,281553,520735,10770,25610760,11.71,0.1826,0.9553,2532,582,510622945,31.3,10.13,17.37,60.38
Michael Garcia,26,45187,Business Analyst,2021-05-22,India,499,254401,10,5100,212929,297305,99171,147574,70285,25692613,31.65,0.1055,0.9143,3149,458,631746649,48.0,7.5,7.89,45.82
Chris Davis,33,88463,Teacher,2021-05-23,Russia,507,254899,10,5105,493192,353000,254189,732495,36271,25741838,20.21,0.1347,0.9431,2801,738,798829060,46.6,19.27,8.33,54.47
Anna Brown,72,29147,Scientist,2021-05-24,Canada,488,255374,6,5108,41566,337187,218815,49424,74391,25825342,49.49,0.0889,0.8823,3370,291,1123022962,44.5,12.23,14.33,75.66
Chris Jones,89,78914,Nurse,2021-05-25,Brazil,473,255874,12,5116,435737,150807,271896,61559,24439,25849196,24.46,0.1299,0.904,1606,684,589839790,36.4,9.41,2.72,92.47
Emily Brown,75,88081,Engineer,2021-05-26,Canada,479,256403,15,5127,251300,64919,118339,530926,96826,25920976,12.19,0.0833,0.8118,3593,66,964630490,33.0,15.15,2.54,56.95
Alex Brown,81,79593,Sales Executive,2021-05-27,France,501,256910,6,5138,33798,349199,45864,268290,12101,25952905,19.71,0.0745,0.8171,4558,984,958115766,47.0,6.36,3.59,78.43
Michael Davis,66,2360,Farmer,2021-05-28,Russia,470,257407,13,5162,416781,352599,181763,293219,93776,26011008,33.04,0.1306,0.9576,618,200,356397801,41.4,23.47,11.69,39.44
David Smith,46,3048,Scientist,2021-05-29,Brazil,482,257904,14,5172,33027,305279,73035,435915,83319,26075628,4.73,0.1223,0.8113,1704,653,392266359,32.4,10.89,3.83,67.86
Emily Garcia,24,40020,Business Analyst,2021-05-30,Australia,456,258420,12,5180,277775,171730,87675,723332,45917,26166218,30.58,0.0658,0.8322,3286,472,878208209,36.6,22.73,6.27,94.52
Sarah Miller,86,44935,Teacher,2021-05-31,UK,518,258898,10,5188,230937,351821,285487,529968,93345,26251342,46.63,0.0384,0.9512,3169,51,944939843,47.0,14.95,13.29,31.96
John Brown,19,23482,Engineer,2021-06-01,UK,487,259382,6,5199,249628,296840,225320,292094,84459,26296932,42.67,0.08,0.8002,3783,495,1242680433,47.6,22.0,1.3,48.73
Laura Jones,50,92199,Nurse,2021-06-02,Brazil,509,259850,15,5205,66878,139845,20673,680773,81562,26370486,4.32,0.0889,0.8537,3279,182,789008773,41.5,9.94,4.42,39.27
Michael Williams,65,33973,Nurse,2021-06-03,Canada,476,260336,4,5215,55206,29956,192026,59305,42196,26382107,49.68,0.1295,0.911,200,688,1182729171,43.3,8.51,18.67,67.32
Alex Garcia,54,16185,Doctor,2021-06-04,Russia,479,260848,11,5227,113473,282963,186770,542037,24569,26384080,35.24,0.1838,0.9131,2322,259,713129043,26.0,21.99,13.61,77.57
John Miller,47,20699,Sales Executive,2021-06-05,UK,513,261356,11,5247,461798,268672,27520,285713,42887,26443866,8.95,0.0169,0.9477,4401,519,830095085,40.1,9.26,6.81,34.04
Alex Miller,58,56885,Farmer,2021-06-06,Russia,505,261836,11,5258,68334,394925,246195,86778,21893,26481963,1.61,0.0563,0.8961,2158,511,1171080538,42.2,19.92,1.86,34.92
Jane Brown,21,42582,Scientist,2021-06-07,UK,541,262327,8,5264,344467,91491,278928,384777,88971,26517208,9.39,0.0468,0.8968,1845,202,268732505,25.5,11.89,12.13,90.87
Michael Garcia,56,19061,Police Officer,2021-06-08,France,481,262796,13,5272,63619,49588,39079,497061,56304,26583419,42.07,0.1054,0.9378,2477,799,1007691487,46.1,19.96,5.23,61.94
Sarah Clark,41,78015,Business Analyst,2021-06-09,Canada,498,263282,11,5281,113536,206657,45220,378451,33399,26639260,2.06,0.0916,0.8947,3564,916,321486409,48.2,23.15,19.24,62.41
Jane Brown,67,45597,Teacher,2021-06-10,France,496,263794,6,5290,430091,104152,152563,580451,26236,26665606,12.42,0.1485,0.9156,398,759,447409297,30.9,24.63,14.05,96.12
Emily Johnson,54,11892,Nurse,2021-06-11,UK,514,264267,8,5300,165586,132872,113878,69592,93735,26738586,38.11,0.0561,0.9706,2128,751,218066088,46.1,12.2,19.51,52.41
Chris Miller,70,24931,Engineer,2021-06-12,Australia,536,264797,6,5312,163652,277263,117583,238223,86870,26830003,29.72,0.123,0.8763,446,174,971070667,41.6,12.35,17.13,92.79
David Brown,42,25654,Police Officer,2021-06-13,Australia,481,265326,10,5320,269201,343037,49720,208405,99753,26880156,39.35,0.1779,0.8732,3026,764,941210519,39.5,24.63,10.18,98.2
Alex Garcia,48,89478,Engineer,2021-06-14,France,493,265833,8,5328,226899,21167,232876,399575,50531,26971538,37.56,0.183,0.8007,2659,99,215101527,46.1,22.23,13.72,46.92
Emily Taylor,55,59820,Farmer,2021-06-15,Australia,498,266321,14,5334,407504,192575,15718,552327,81570,27049480,3.48,0.1922,0.9166,1208,700,382140402,32.1,5.9,16.43,65.98
David Johnson,75,54886,Doctor,2021-06-16,UK,485,266821,9,5342,16734,115782,158904,159270,97621,27141455,44.73,0.1569,0.8057,195,996,1079339493,44.8,16.47,11.99,67.4
David Clark,70,73470,Business Analyst,2021-06-17,Brazil,438,267309,6,5353,224072,135775,229470,185426,10442,27148427,12.12,0.1821,0.8958,2276,67,1026861677,32.9,8.62,2.17,90.63
Michael Smith,67,96269,Nurse,2021-06-18,France,485,267846,12,5357,311152,39889,89378,790873,57437,27197490,28.12,0.0546,0.9528,313,982,66693400,44.7,24.88,9.94,51.27
David Brown,21,86148,Scientist,2021-06-19,USA,495,268333,7,5369,321493,312822,9177,285968,61342,27263978,32.57,0.0475,0.9045,4349,272,372447862,36.3,7.78,3.48,85.86
Laura Smith,69,98391,Doctor,2021-06-20,Canada,484,268845,5,5375,148886,231406,178187,371679,79179,27322033,9.26,0.0112,0.8512,3151,657,1011896362,27.9,16.19,14.58,97.97
Michael Smith,48,75842,Sales Executive,2021-06-21,Australia,527,269338,11,5388,446370,65262,238307,23436,36069,27387399,48.84,0.1443,0.9494,2156,759,824772830,34.5,18.3,13.93,88.82
Emily Smith,31,66324,Business Analyst,2021-06-22,Australia,508,269859,10,5393,148923,140753,112145,637838,74246,27399330,24.92,0.1881,0.8512,3130,828,926803791,30.8,23.74,19.87,93.64
Alex Brown,18,83080,Engineer,2021-06-23,India,490,270332,13,5402,396622,85291,206202,716217,39560,27408032,3.82,0.0455,0.9393,1037,252,1371394149,27.5,21.95,12.95,79.58
Laura Jones,60,66027,Scientist,2021-06-24,Germany,519,270840,6,5413,142672,71008,14418,36057,59070,27493866,46.93,0.131,0.9159,1397,672,310203054,27.8,9.92,16.2,93.28
Alex Clark,76,2425,Software Developer,2021-06-25,France,482,271370,13,5425,66614,252547,166926,545598,43427,27516406,29.73,0.1518,0.8323,1410,867,1090140813,44.5,16.45,6.1,41.54
Chris Williams,78,2733,Software Developer,2021-06-26,Italy,503,271851,16,5439,213474,234489,89075,671201,61496,27574856,35.26,0.1862,0.972,2888,885,1027396660,47.0,24.07,7.46,79.87
Anna Brown,58,46375,Software Developer,2021-06-27,Australia,531,272341,12,5450,275836,293056,280677,488571,65557,27673432,26.73,0.1329,0.8381,1776,768,1083522187,48.2,19.71,18.42,81.23
Emily Jones,35,65411,Police Officer,2021-06-28,Canada,524,272811,4,5454,136745,273617,219930,789129,73752,27739684,41.9,0.1944,0.988,2339,228,1081840609,46.3,18.77,15.35,60.74
Jane Taylor,77,11603,Police Officer,2021-06-29,USA,508,273308,8,5465,199099,177370,125202,799276,78248,27787588,2.62,0.0755,0.8014,957,18,669940103,45.8,20.1,13.45,35.58
Jane Williams,86,13152,Farmer,2021-06-30,Australia,515,273843,9,5471,258843,366644,11273,610301,71441,27840908,14.15,0.0765,0.8501,1233,439,706322477,26.7,11.45,5.83,73.57
Jane Davis,76,16801,Police Officer,2021-07-01,USA,489,274321,16,5477,292517,305929,34519,684266,49534,27872908,24.01,0.1132,0.838,2874,815,264804100,44.8,19.59,14.27,33.63
Michael Smith,59,85442,Farmer,2021-07-02,UK,477,274800,9,5490,239708,105956,156232,685228,28930,27969249,4.75,0.0829,0.8027,1308,888,305450935,44.6,9.66,17.85,56.77
Sarah Davis,53,57318,Engineer,2021-07-03,UK,515,275300,12,5497,466021,199499,181060,562834,97728,27972848,35.59,0.0103,0.9391,248,22,163485978,28.3,13.56,5.39,57.56
Chris Smith,57,95973,Scientist,2021-07-04,Germany,464,275798,11,5505,384557,198073,84460,118812,90042,28061484,20.29,0.149,0.9318,1106,784,1375018622,41.6,22.8,14.42,99.92
Michael Clark,47,17985,Doctor,2021-07-05,Brazil,503,276326,12,5512,483599,197796,249792,617143,8288,28158529,14.36,0.1528,0.9505,2505,916,1138102184,36.3,5.38,8.48,50.99
Michael Davis,28,93471,Engineer,2021-07-06,Italy,481,276820,10,5520,24507,386150,105471,577437,96547,28244248,1.17,0.1519,0.8488,3415,979,313456936,47.5,13.29,3.26,87.43
Laura Johnson,42,22068,Police Officer,2021-07-07,India,503,277319,14,5526,335075,277976,105668,395735,82122,28301413,36.27,0.0756,0.8844,1310,234,668938468,42.4,10.34,15.51,33.72
Sarah Taylor,62,14531,Nurse,2021-07-08,Germany,503,277842,10,5532,85499,150780,15629,218453,62518,28361268,41.86,0.1092,0.9252,4028,752,972704513,48.8,8.97,4.18,67.08
Emily Clark,68,35288,Farmer,2021-07-09,Russia,481,278362,14,5539,212714,349891,274417,699044,33400,28362286,20.36,0.0784,0.8836,2885,699,887044166,27.6,21.77,5.81,67.57
Chris Jones,60,92017,Farmer,2021-07-10,India,495,278887,9,5550,213941,347251,121484,312002,2567,28364144,28.65,0.013,0.9325,1363,768,831633903,26.0,18.93,15.88,74.01
Alex Taylor,83,92762,Sales Executive,2021-07-11,France,511,279379,11,5561,386506,196134,98275,65330,48878,28391136,12.16,0.1169,0.9205,1952,76,879243274,49.3,7.25,15.1,86.7
Emily Davis,64,67653,Sales Executive,2021-07-12,Canada,465,279895,10,5565,369593,332572,139966,799340,49850,28424716,31.49,0.0335,0.8218,4025,818,1202052502,27.0,14.89,5.83,83.33
Emily Johnson,41,99197,Teacher,2021-07-13,Russia,497,280401,9,5573,368963,353987,47073,734564,2094,28496632,1.59,0.0252,0.9484,627,678,252286302,34.7,14.34,18.88,83.27
Alex Miller,54,41068,Teacher,2021-07-14,Russia,486,280932,7,5579,311567,16002,46693,374347,12135,28533432,24.94,0.1535,0.9369,4480,686,198597484,41.2,7.85,5.09,60.26
Jane Johnson,73,13459,Sales Executive,2021-07-15,Germany,468,281410,12,5588,113612,334645,183538,307437,80044,28593202,32.57,0.0118,0.9246,1070,512,703221255,47.0,21.0,19.88,80.92
Anna Taylor,63,87641,Farmer,2021-07-16,Brazil,500,281913,8,5597,498567,37556,287487,155701,46113,28649143,45.99,0.1922,0.8295,3703,193,861305975,31.4,12.33,15.02,64.39
Sarah Brown,45,86000,Scientist,2021-07-17,Germany,529,282396,8,5602,96120,72963,44095,25704,59791,28734594,19.69,0.1079,0.8509,3894,217,27385055,25.7,20.24,8.46,34.69
Emily Taylor,69,33554,Doctor,2021-07-18,France,518,282934,12,5610,389553,226746,163246,152848,10684,28773081,38.49,0.1968,0.8747,3623,537,1077885652,38.0,8.84,3.48,92.31
John Davis,32,71313,Business Analyst,2021-07-19,Australia,510,283457,8,5626,363062,11563,123388,208327,93783,28787024,30.29,0.021,0.8532,2343,309,743462208,36.8,11.3,7.09,92.31
Alex Taylor,62,77968,Police Officer,2021-07-20,Australia,504,283959,10,5637,76600,215995,241787,592569,72727,28849481,46.42,0.1209,0.8433,660,827,814517091,32.7,6.9,4.68,52.6
David Clark,75,15271,Scientist,2021-07-21,Brazil,504,284448,10,5647,51848,272984,204508,661260,84378,28869317,20.52,0.0764,0.953,378,250,697394062,46.8,7.87,12.81,93.97
Emily Garcia,84,4801,Engineer,2021-07-22,France,465,284945,1,5658,16820,20154,115441,133532,59552,28881711,16.64,0.1703,0.9213,596,464,422993146,43.7,22.66,7.78,83.06
Emily Miller,89,73593,Doctor,2021-07-23,Brazil,485,285466,4,5670,280656,29194,101782,444452,9046,28954869,44.47,0.0786,0.9074,388,984,444844418,46.5,7.18,6.61,58.06
Chris Williams,58,27511,Nurse,2021-07-24,USA,521,285978,14,5684,177797,201092,259019,86780,5934,28981149,3.41,0.0595,0.8429,3231,751,228542199,29.0,6.91,15.39,53.21
David Jones,82,74046,Doctor,2021-07-25,Australia,497,286432,16,5692,323678,182933,240343,220277,60556,29059467,7.68,0.1729,0.9744,3091,911,1157446514,42.3,23.81,5.38,98.26
David Williams,57,74635,Engineer,2021-07-26,Russia,465,286947,14,5698,226223,158520,109263,464162,47806,29061626,5.04,0.0812,0.8363,856,539,337675740,49.4,17.92,12.15,79.88
Sarah Williams,22,81729,Teacher,2021-07-27,Italy,478,287488,12,5710,397335,290672,292517,264955,2354,29132788,42.31,0.0132,0.951,1083,668,299251220,40.3,7.02,4.7,56.52
David Miller,45,56233,Nurse,2021-07-28,Canada,465,287974,10,5722,180848,271496,290669,337477,96352,29157228,1.52,0.0842,0.9837,3323,253,90181057,29.3,24.43,14.58,74.94
John Johnson,55,21011,Business Analyst,2021-07-29,France,518,288450,13,5729,70945,267328,130401,702637,54046,29235394,43.22,0.1344,0.9381,4037,572,1285904245,49.9,7.94,12.88,70.01
